/home/zhaoyu/miniconda3/envs/test/lib/python3.11/site-packages/dgl/graphbolt/__init__.py:114: GBWarning: 
An experimental feature for CUDA allocations is turned on for better allocation
pattern resulting in better memory usage for minibatch GNN training workloads.
See https://pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf,
and set the environment variable `PYTORCH_CUDA_ALLOC_CONF=expandable_segments:False`
if you want to disable it and set it True to acknowledge and disable the warning.

  gb_warning(WARNING_STR_TO_BE_SHOWN)
Namespace(dataset='ogbn-products', data_path='./dataset/', part_path='./partition/', graph_name='ogbn-products-5-metis-vol-trans', model='graphsage', dropout=0.3, lr=0.003, sampling_rate=0.1, heads=1, n_epochs=500, n_partitions=5, n_hidden=128, n_layers=3, log_every=10, weight_decay=0, norm='layer', partition_obj='vol', partition_method='metis', n_linear=0, use_pp=True, inductive=False, fix_seed=True, seed=3, backend='gloo', port=18300, master_addr='127.0.0.1', node_rank=0, parts_per_node=10, skip_partition=True, eval=True)
loading partitions
Process 1 has 711752 nodes, 22307144 edges 475516 inner nodes, and 19479032 inner edges.
Process 1 start training
Process 001 | Epoch 00009 | Time(s) 0.4840 | Comm(s) 0.3235 | Reduce(s) 0.0478 | Loss 0.8396
Process 001 | Epoch 00019 | Time(s) 0.5525 | Comm(s) 0.3621 | Reduce(s) 0.0502 | Loss 0.3580
Process 001 | Epoch 00029 | Time(s) 0.6144 | Comm(s) 0.3596 | Reduce(s) 0.0513 | Loss 0.2416
Process 001 | Epoch 00039 | Time(s) 0.6360 | Comm(s) 0.3651 | Reduce(s) 0.0520 | Loss 0.1872
Process 001 | Epoch 00049 | Time(s) 0.6386 | Comm(s) 0.3678 | Reduce(s) 0.0515 | Loss 0.1602
Process 001 | Epoch 00059 | Time(s) 0.6343 | Comm(s) 0.3685 | Reduce(s) 0.0503 | Loss 0.1461
Process 001 | Epoch 00069 | Time(s) 0.6335 | Comm(s) 0.3688 | Reduce(s) 0.0501 | Loss 0.1363
Process 001 | Epoch 00079 | Time(s) 0.6406 | Comm(s) 0.3704 | Reduce(s) 0.0501 | Loss 0.1261
Process 001 | Epoch 00089 | Time(s) 0.6365 | Comm(s) 0.3716 | Reduce(s) 0.0497 | Loss 0.1214
Process 001 | Epoch 00099 | Time(s) 0.6339 | Comm(s) 0.3712 | Reduce(s) 0.0496 | Loss 0.1150
Process 001 | Epoch 00109 | Time(s) 0.6309 | Comm(s) 0.3697 | Reduce(s) 0.0496 | Loss 0.1129
Process 001 | Epoch 00119 | Time(s) 0.6302 | Comm(s) 0.3696 | Reduce(s) 0.0494 | Loss 0.1096
Process 001 | Epoch 00129 | Time(s) 0.6282 | Comm(s) 0.3682 | Reduce(s) 0.0493 | Loss 0.1030
